lat,lon,elevation_m,distance_km,grade_percent
36.286829,-116.804903,-57.7,18.813,0.12232415902140698
36.289444,-116.806419,-57.4,19.148,0.08955223880597118
36.292257,-116.808063,-57.0,19.508,0.1111111111111109
36.295023,-116.809659,-56.7,19.862,0.08474576271186379
36.295679,-116.81005,-56.4,19.946,0.35714285714284866
36.29703,-116.810822,-56.0,20.118,0.23255813953488688
36.297739,-116.811213,-55.7,20.209,0.32967032967032267
36.298609,-116.811743,-55.3,20.321,0.3571428571428562
36.299421,-116.812215,-55.0,20.425,0.28846153846153794
36.299809,-116.812457,-54.7,20.475,0.5999999999999858
36.300647,-116.812933,-54.3,20.582,0.3738317757009423
36.301739,-116.813578,-54.0,20.722,0.2142857142857114
36.302378,-116.813941,-53.7,20.803,0.3703703703703691
36.304903,-116.815406,-53.3,21.127,0.12345679012345928
36.305535,-116.815757,-53.0,21.207,0.3749999999999878
36.306191,-116.816148,-52.6,21.291,0.4761904761904766
36.308719,-116.817611,-52.3,21.614,0.09287925696594548
36.31228,-116.819701,-52.7,22.071,-0.08752735229759409
36.313822,-116.820625,-53.0,22.27,-0.15075376884422115
36.315302,-116.8215,-53.4,22.46,-0.2105263157894715
36.315676,-116.821684,-53.8,22.507,-0.8510638297872202
36.315893,-116.821802,-54.2,22.534,-1.4814814814816413
36.318208,-116.823166,-54.5,22.831,-0.10101010101009986
36.320624,-116.824563,-54.9,23.141,-0.12903225806451618
36.322947,-116.825924,-55.3,23.438,-0.13468013468013396
36.323773,-116.826396,-55.7,23.543,-0.3809523809523848
36.327192,-116.828396,-56.0,23.982,-0.06833712984054605
36.329895,-116.829981,-56.4,24.328,-0.11560693641618452
36.331155,-116.830711,-56.8,24.49,-0.24691358024691418
36.332144,-116.831259,-57.1,24.615,-0.2400000000000034
36.332465,-116.831436,-57.5,24.656,-0.9756097560975486
36.332917,-116.831666,-57.9,24.712,-0.7142857142856998
36.33387,-116.832127,-58.3,24.831,-0.3361344537815121
36.334848,-116.832549,-58.6,24.951,-0.2500000000000015
36.336872,-116.833346,-59.0,25.197,-0.16260162601626046
36.337552,-116.833625,-59.4,25.28,-0.48192771084336034
36.338504,-116.833995,-59.8,25.396,-0.34482758620689635
36.338798,-116.834121,-60.1,25.433,-0.8108108108108435
36.34025,-116.834689,-60.5,25.609,-0.22727272727272396
36.345752,-116.836865,-60.9,26.278,-0.059790732436472406
36.347317,-116.837496,-61.3,26.469,-0.20942408376963
36.348675,-116.83803,-61.6,26.634,-0.18181818181818532
36.351111,-116.838986,-62.0,26.93,-0.13513513513513495
36.353423,-116.83991,-62.6,27.211,-0.21352313167259926
36.353748,-116.840048,-63.1,27.252,-1.21951219512194
36.354656,-116.8404,-63.7,27.361,-0.5504587155963226
36.359545,-116.842337,-64.2,27.957,-0.08389261744966442
36.361025,-116.842932,-64.8,28.137,-0.3333333333333307
36.365133,-116.844592,-65.4,28.638,-0.11976047904191757
36.36542,-116.844705,-65.9,28.673,-1.4285714285715678
36.365876,-116.844883,-66.5,28.728,-1.0909090909090158
36.366998,-116.845315,-67.1,28.865,-0.4379562043795678
36.368772,-116.84601,-67.6,29.08,-0.23255813953488388
36.372115,-116.84734,-68.2,29.487,-0.14742014742014953
36.373193,-116.847768,-68.7,29.619,-0.3787878787878746
36.374954,-116.848466,-69.3,29.832,-0.2816901408450665
36.375928,-116.848853,-69.9,29.951,-0.504201680672277
36.376667,-116.849135,-70.4,30.041,-0.5555555555555565
36.380779,-116.850773,-71.0,30.541,-0.11999999999999886
36.38162,-116.851095,-71.5,30.644,-0.485436893203893
36.381715,-116.851131,-72.1,30.655,-5.4545454545440215
36.381815,-116.851174,-72.7,30.667,-4.999999999999882
36.382309,-116.851381,-73.2,30.728,-0.8196721311475417
36.382832,-116.851586,-73.8,30.792,-0.9374999999999902
36.383689,-116.851939,-74.4,30.896,-0.5769230769230895
36.384564,-116.852285,-74.9,31.002,-0.47169811320755567
36.384894,-116.852394,-75.5,31.042,-1.4999999999998845
36.385132,-116.852435,-76.0,31.07,-1.7857142857143693
36.385435,-116.852443,-76.6,31.105,-1.714285714285691
36.385748,-116.852395,-75.8,31.142,2.1621621621622107
36.385929,-116.85235,-74.9,31.163,4.285714285714082
36.386139,-116.852264,-74.1,31.189,3.076923076923144
36.386468,-116.852087,-73.2,31.23,2.1951219512194715
36.389042,-116.850601,-72.4,31.559,0.24316109422492269
36.389497,-116.850343,-71.5,31.617,1.551724137931049
36.389771,-116.850169,-70.7,31.653,2.2222222222223493
