lat,lon,elevation_m,distance_km
36.485572,-116.869503,-56.6,43.873
36.485917,-116.869097,-56.3,43.927
36.486111,-116.868905,-56.1,43.957
36.4863,-116.868757,-55.9,43.983
36.486552,-116.868604,-55.6,44.015
36.486777,-116.868525,-55.4,44.042
36.486968,-116.868474,-55.2,44.065
36.487202,-116.868438,-55.0,44.092
36.487451,-116.868443,-54.7,44.121
36.487693,-116.868489,-54.5,44.15
36.487911,-116.868549,-54.3,44.176
36.488491,-116.868762,-54.1,44.245
36.489082,-116.868973,-53.8,44.316
36.489248,-116.869051,-53.6,44.337
36.489533,-116.869207,-53.4,44.374
36.489883,-116.869441,-53.2,44.42
36.491817,-116.870896,-52.9,44.681
36.492726,-116.871588,-52.7,44.805
36.495976,-116.874015,-53.0,45.244
36.496258,-116.874212,-53.3,45.282
36.496556,-116.874401,-53.6,45.32
36.497105,-116.874703,-54.0,45.39
36.497571,-116.874906,-54.3,45.448
36.49798,-116.875045,-54.6,45.497
36.498345,-116.875142,-54.9,45.54
36.498819,-116.875248,-55.2,45.596
36.499318,-116.875317,-55.5,45.654
36.499916,-116.875354,-55.9,45.724
36.500421,-116.875366,-56.2,45.782
36.501028,-116.875403,-56.5,45.852
36.501382,-116.875415,-56.8,45.894
36.501666,-116.875441,-57.1,45.926
36.501862,-116.87548,-57.4,45.949
36.50215,-116.875547,-57.7,45.983
36.502601,-116.8757,-58.1,46.038
36.502875,-116.875815,-58.4,46.071
36.50318,-116.875977,-58.7,46.11
36.5034,-116.876115,-59.0,46.138
36.503652,-116.876299,-59.3,46.172
36.504442,-116.876908,-59.6,46.28
36.504931,-116.877274,-60.0,46.346
36.505311,-116.877527,-60.3,46.396
36.505942,-116.877911,-60.6,46.478
36.506685,-116.878329,-60.9,46.572
36.507503,-116.8788,-61.0,46.677
36.51054,-116.880518,-61.2,47.064
36.510851,-116.880683,-61.3,47.102
36.51158,-116.881046,-61.4,47.194
36.512145,-116.881294,-61.6,47.263
36.513071,-116.881632,-61.7,47.374
36.51351,-116.881768,-61.8,47.428
36.513983,-116.881858,-61.9,47.483
36.514301,-116.881891,-62.1,47.519
36.514699,-116.881907,-62.2,47.566
36.514987,-116.881893,-62.3,47.6
36.515333,-116.881852,-62.5,47.639
36.515723,-116.881784,-62.6,47.685
36.516761,-116.881555,-62.7,47.807
36.517108,-116.881494,-62.9,47.848
36.51752,-116.881443,-63.0,47.896
36.517871,-116.881417,-63.1,47.937
36.51838,-116.881407,-63.3,47.996
36.518822,-116.881456,-63.4,48.047
36.519279,-116.881528,-63.5,48.101
36.519651,-116.881606,-63.6,48.145
36.521413,-116.882111,-63.8,48.354
36.522232,-116.882335,-63.9,48.451
36.522972,-116.88249,-64.0,48.538
36.523621,-116.882595,-64.2,48.614
36.52576,-116.882838,-64.3,48.863
36.52652,-116.882889,-64.5,48.952
36.527101,-116.882903,-64.7,49.019
36.527725,-116.882888,-64.8,49.092
36.528155,-116.88285,-65.0,49.142
36.530461,-116.88259,-65.2,49.41
36.530985,-116.882562,-65.4,49.47
36.531387,-116.882569,-65.5,49.517
36.532262,-116.882667,-65.7,49.619
36.532573,-116.882736,-65.9,49.656
36.532969,-116.882846,-66.1,49.703
36.5347,-116.883481,-66.2,49.912
36.535555,-116.883726,-66.4,50.013
36.539973,-116.884885,-66.6,50.537
36.541162,-116.885201,-66.8,50.677
36.541445,-116.885287,-67.0,50.712
36.541763,-116.885408,-67.1,50.75
36.542124,-116.885554,-67.3,50.794
36.542513,-116.885751,-67.5,50.843
36.542971,-116.886019,-67.7,50.902
36.543264,-116.886218,-67.8,50.94
36.543665,-116.886523,-68.0,50.994
36.543946,-116.886764,-68.2,51.034
36.544256,-116.887068,-68.4,51.08
36.545625,-116.888551,-68.5,51.29
36.546024,-116.888952,-68.7,51.35
36.546671,-116.889529,-68.9,51.443
36.547139,-116.889904,-69.0,51.506
36.547952,-116.890514,-69.1,51.617
36.548996,-116.891195,-69.2,51.753
36.549397,-116.891444,-69.3,51.805
36.549819,-116.891684,-69.4,51.859
36.550208,-116.891876,-69.5,51.908
36.550748,-116.892107,-69.6,51.973
36.551011,-116.892198,-69.7,52.006
36.551234,-116.89226,-69.8,52.032
36.551792,-116.892388,-69.9,52.097
36.553517,-116.892699,-70.0,52.3
36.553793,-116.892768,-70.1,52.332
36.553998,-116.892831,-70.2,52.357
36.554204,-116.892902,-70.3,52.382
36.554529,-116.893035,-70.4,52.422
36.554949,-116.89324,-70.5,52.474
36.555857,-116.893712,-70.6,52.587
36.556198,-116.893943,-70.7,52.632
36.556428,-116.894117,-70.8,52.664
36.556602,-116.894263,-70.9,52.689
36.556777,-116.894436,-71.0,52.715
36.557038,-116.894739,-71.1,52.755
36.557245,-116.895021,-71.2,52.791
36.557441,-116.895317,-71.3,52.827
36.557622,-116.895658,-71.4,52.865
36.55775,-116.895937,-71.5,52.895
36.557875,-116.896256,-71.5,52.928
36.558612,-116.898305,-71.5,53.137
36.558883,-116.899,-71.5,53.209
36.559091,-116.899527,-71.5,53.264
36.559458,-116.900366,-71.5,53.353
36.560109,-116.901712,-71.5,53.499
36.561176,-116.903879,-71.5,53.735
36.561413,-116.904331,-71.5,53.785
36.561675,-116.904797,-71.5,53.839
36.561968,-116.905251,-71.5,53.893
36.562269,-116.905671,-71.5,53.946
36.562682,-116.906159,-71.5,54.012
36.562969,-116.906458,-71.5,54.054
36.5634,-116.90688,-71.6,54.118
36.563781,-116.907219,-71.6,54.172
36.564199,-116.907582,-71.6,54.232
36.564498,-116.907803,-71.6,54.272
36.564768,-116.907965,-71.6,54.307
36.565157,-116.908149,-71.6,54.355
