lat,lon,elevation_m,distance_km
36.448321,-116.854515,-18.7,37.283
36.448406,-116.854839,-18.9,37.313
36.448819,-116.856123,-19.0,37.437
36.449635,-116.858714,-19.2,37.686
36.449869,-116.859409,-20.4,37.753
36.450002,-116.859774,-21.6,37.789
36.450118,-116.860039,-22.8,37.816
36.450261,-116.860345,-24.0,37.848
36.450466,-116.86073,-25.2,37.889
36.450731,-116.861191,-26.4,37.94
36.451025,-116.861647,-27.5,37.992
36.451331,-116.862078,-28.7,38.043
36.451773,-116.862608,-29.9,38.112
36.452213,-116.863064,-31.1,38.175
36.452548,-116.863361,-32.3,38.221
36.452996,-116.863726,-33.5,38.281
36.453096,-116.863802,-34.7,38.294
36.453235,-116.863906,-35.9,38.312
36.453503,-116.864083,-37.1,38.345
36.453757,-116.864229,-38.3,38.377
36.45423,-116.864473,-39.5,38.433
36.4545,-116.864597,-40.7,38.465
36.454825,-116.864715,-41.9,38.503
36.455012,-116.864778,-43.0,38.525
36.455151,-116.864826,-44.2,38.541
36.455349,-116.864889,-45.4,38.563
36.455571,-116.86495,-46.6,38.589
36.455877,-116.865011,-47.8,38.623
36.456216,-116.865074,-49.0,38.661
36.456498,-116.865108,-50.2,38.693
36.456888,-116.865142,-50.8,38.736
36.457109,-116.865161,-51.3,38.761
36.45949,-116.865373,-51.9,39.026
36.459705,-116.865386,-52.4,39.05
36.459856,-116.865402,-53.0,39.067
36.460194,-116.865429,-53.5,39.105
36.46086,-116.865469,-54.1,39.179
36.461099,-116.865487,-54.7,39.206
36.461428,-116.865511,-55.2,39.242
36.461812,-116.865548,-55.8,39.285
36.462118,-116.865568,-56.3,39.319
36.46238,-116.86558,-56.9,39.348
36.463375,-116.865578,-57.4,39.459
36.464128,-116.86557,-58.0,39.543
36.464416,-116.865596,-58.6,39.575
36.464666,-116.865636,-59.1,39.603
36.464834,-116.865674,-59.7,39.622
36.46501,-116.865735,-60.2,39.642
36.465269,-116.865826,-60.8,39.672
36.465466,-116.865914,-61.4,39.695
36.46553,-116.865943,-61.9,39.703
36.466121,-116.86619,-62.5,39.772
36.466305,-116.866269,-63.0,39.794
36.466552,-116.866368,-63.6,39.823
36.467181,-116.866613,-64.1,39.896
36.467685,-116.866778,-64.7,39.954
36.467926,-116.866843,-64.5,39.981
36.468184,-116.866889,-64.2,40.01
36.46827,-116.866904,-64.0,40.02
36.468908,-116.866939,-63.8,40.091
36.470393,-116.867045,-63.5,40.256
36.471035,-116.867101,-63.3,40.328
36.471531,-116.867169,-63.1,40.383
36.472476,-116.867353,-62.8,40.49
36.477467,-116.868324,-62.6,41.052
36.478281,-116.868517,-62.4,41.144
36.478926,-116.86871,-62.1,41.217
36.479269,-116.868863,-61.9,41.258
36.479506,-116.868991,-61.6,41.287
36.479624,-116.869069,-61.4,41.302
36.479792,-116.869222,-61.2,41.325
36.47994,-116.86939,-60.9,41.347
36.480356,-116.869808,-60.7,41.406
36.481029,-116.870499,-60.5,41.503
36.481449,-116.870893,-60.2,41.562
36.481651,-116.871047,-60.0,41.588
36.481841,-116.871175,-59.8,41.612
36.482022,-116.871259,-59.5,41.634
36.482191,-116.871316,-59.3,41.653
36.482413,-116.871369,-59.1,41.678
36.482686,-116.871395,-58.8,41.709
36.482938,-116.871387,-58.6,41.737
36.483149,-116.871355,-58.4,41.761
36.483358,-116.871292,-58.1,41.784
36.483531,-116.871219,-57.9,41.805
36.483749,-116.871091,-57.7,41.832
36.48427,-116.8707,-57.5,41.899
36.484644,-116.870404,-57.2,41.949
36.484968,-116.870122,-57.0,41.993
36.485227,-116.869882,-56.8,42.028
36.485572,-116.869503,-56.6,42.08
36.485917,-116.869097,-56.3,42.132
36.486111,-116.868905,-56.1,42.16
36.4863,-116.868757,-55.9,42.185
36.486552,-116.868604,-55.6,42.216
36.486777,-116.868525,-55.4,42.242
36.486968,-116.868474,-55.2,42.264
36.487202,-116.868438,-55.0,42.29
36.487451,-116.868443,-54.7,42.318
36.487693,-116.868489,-54.5,42.345
36.487911,-116.868549,-54.3,42.37
36.488491,-116.868762,-54.1,42.437
36.489082,-116.868973,-53.8,42.505
36.489248,-116.869051,-53.6,42.525
36.489533,-116.869207,-53.4,42.56
36.489883,-116.869441,-53.2,42.604
36.491817,-116.870896,-52.9,42.855
36.492726,-116.871588,-52.7,42.974
36.495976,-116.874015,-53.0,43.395
36.496258,-116.874212,-53.3,43.431
36.496556,-116.874401,-53.6,43.468
36.497105,-116.874703,-54.0,43.535
36.497571,-116.874906,-54.3,43.59
36.49798,-116.875045,-54.6,43.637
36.498345,-116.875142,-54.9,43.679
36.498819,-116.875248,-55.2,43.732
36.499318,-116.875317,-55.5,43.788
36.499916,-116.875354,-55.9,43.855
36.500421,-116.875366,-56.2,43.911
36.501028,-116.875403,-56.5,43.978
36.501382,-116.875415,-56.8,44.018
